last_school_ranking,main_role_biz_ops,how_many_time_founder,friction_index,worked_abroad,month_of_experience,promotions_rate,current_tenure,stickiness_index,additional_certifications,direct_message,macro_field_expertise_Engineering,female,self_def_recent_graduate,target_dropout
0,0,0,13.6,1,136,0.26,13,0.94,1,0,0,1,0,1
2,0,1,9.4,1,73,0.33,19,1.10,0,0,1,0,0,0
0,1,0,10.2,0,124,0.39,61,1.48,0,0,0,0,0,0
1,1,0,1.15,1,24,0.00,3,0.58,0,0,0,0,0,1
0,0,0,7.05,1,72,0.00,24,0.33,0,0,0,0,0,0
1,0,0,2.35,1,72,0.17,24,0.50,4,0,0,1,0,0
1,0,4,2.35,1,86,0.14,17,0.44,1,0,0,0,0,0
1,1,0,5.75,1,18,0.00,6,0.33,8,0,0,0,1,0
0,0,1,2.3,0,12,1.00,12,1.50,0,0,1,0,0,0
1,1,1,1.15,1,24,0.00,13,1.00,0,0,1,1,1,0
0,0,1,3.4,1,121,0.00,39,0.32,7,0,0,0,0,1
0,0,1,1.15,1,18,0.00,8,0.44,1,0,1,0,1,0
2,0,0,2.35,1,89,0.40,18,1.35,0,0,0,1,1,0
1,0,0,1.15,1,8,0.00,5,0.63,0,0,0,0,1,0
1,0,0,8,1,68,0.18,31,0.68,0,0,0,1,0,0
0,0,0,1.6,1,39,0.00,6,0.33,0,0,0,1,0,1
1,0,0,6.4,1,39,0.31,39,1.50,2,0,0,0,0,1
0,0,1,3.4,1,172,0.28,13,1.08,0,0,0,0,0,0
0,0,1,1.6,1,53,0.23,17,1.02,0,0,0,0,0,1
1,0,0,4.8,1,33,0.00,3,0.03,0,0,1,0,0,0
1,0,0,1.15,1,45,0.53,45,2.00,0,0,0,1,0,0
1,0,3,9.4,1,84,0.00,7,0.15,0,0,0,0,0,1
0,0,1,1.6,1,56,0.00,49,0.88,1,0,0,0,0,0
0,1,1,1.6,1,51,0.24,5,1.09,13,1,0,1,0,1
0,0,0,1.6,1,60,0.00,16,0.27,0,0,0,1,0,0
0,0,2,3.4,1,102,0.24,26,0.51,0,0,0,0,0,0
0,0,0,1.6,0,54,0.89,54,3.00,1,0,0,1,1,0
0,0,0,4.7,0,60,0.20,41,1.03,0,0,0,0,0,0
1,1,0,11.75,1,80,0.30,48,1.20,0,0,0,0,0,1
1,0,0,4.8,1,43,0.56,36,1.67,0,0,1,1,0,0
1,0,0,1.15,1,13,0.00,14,1.08,1,1,1,1,0,1
0,1,0,1.6,0,40,0.60,29,1.45,3,0,0,0,0,0
1,0,0,6.4,1,33,0.00,7,0.58,8,0,0,1,0,1
0,0,0,1.6,1,26,0.46,13,0.75,2,1,0,0,0,1
2,0,0,1.15,1,8,0.00,8,1.00,0,1,0,1,1,1
1,1,1,1.6,1,37,0.00,6,0.19,0,0,0,0,0,0
1,0,0,4.7,1,69,0.17,17,0.54,4,0,0,1,0,1
2,1,0,6.8,0,93,0.13,27,0.42,0,0,0,0,0,0
1,0,0,8,1,38,0.00,7,0.03,1,0,0,0,0,1
2,0,0,13.6,1,115,0.00,5,0.43,0,0,0,1,0,1
2,0,0,10.2,1,88,0.14,3,0.61,0,0,0,0,0,0
1,0,1,3.4,1,105,0.00,80,0.76,6,0,0,0,0,0
0,0,0,3.4,1,88,0.41,5,1.25,3,0,0,0,0,1
2,0,0,7.05,1,55,0.22,49,1.34,0,0,0,0,0,1
1,0,0,2.35,1,121,0.30,73,1.51,3,0,0,0,1,0
1,0,0,10.2,0,101,0.12,49,0.73,0,0,0,1,0,1
