roc_auc,ap,brier
0.6010625737898465,0.5481790565901041,0.26077139078145023
0.6336842105263158,0.5664561269761623,0.24543571017885743
0.7037426900584796,0.6577027212345345,0.22051713726041058
0.6361443014705883,0.6365415386279041,0.24656876071761372
0.5808755760368663,0.5382959961992884,0.26663678541606883
0.6294765840220387,0.6539592666168399,0.24690460650340343
0.5451092117758785,0.462525916639851,0.2680857546681398
0.6147748161764705,0.59613416844591,0.25534872253076596
0.5893518518518519,0.5214617340216358,0.2614440588799489
0.5874158346877175,0.5637856827415725,0.25649360932989396
0.634297520661157,0.6756546565653229,0.24585258876352817
0.5801652892561985,0.49172629073994156,0.2668296795823931
0.5867511520737327,0.6034172741000148,0.264703258045784
0.6462545955882353,0.656929077381366,0.24117752897161238
0.6272321428571429,0.5298313261378335,0.24626306902113615
0.6954775022956841,0.7057468838101776,0.22549762608548835
0.5602507545855584,0.515065000862515,0.26428876128485485
0.6501630941286114,0.5699317831401487,0.2376914434141087
0.662075298438935,0.6978381068674693,0.2374668564118118
0.6323529411764706,0.6574023883237454,0.24816763518659776
0.6730195177956372,0.6365466165794581,0.23755974064031588
0.4998842592592592,0.5161557137984256,0.28513115486539
0.6687370600414079,0.6702365003277315,0.2336186637256394
0.6142003676470587,0.6587568237342335,0.2550811872931091
0.5459677419354839,0.5643400541456604,0.2784353990092561
0.5577409707844491,0.6015621563305297,0.2732012861228568
0.6123271889400921,0.6327014674710978,0.25150935858452933
0.5796522556390977,0.47372458474380424,0.27053183410895876
0.6300691244239631,0.5745786414648133,0.254192897964066
0.611446482470397,0.6630567687603339,0.25534526665691426
0.6669360424844147,0.6297121820146303,0.23567829622864556
0.6071182548794489,0.6382372657085968,0.2548508698586515
0.5573485024378918,0.5146774031779905,0.27176166521603684
0.6730414746543779,0.668964626944161,0.22911838678541574
0.6133333333333334,0.5694785668630613,0.24885906438350952
0.6371783088235294,0.5972990502151094,0.24287643537634143
0.6088070829450141,0.5832096508972493,0.25647928791910757
0.6850873161764706,0.6818225678306062,0.22560812418248652
0.6406141768644655,0.670996271354436,0.24957892298787684
0.5961891643709826,0.6339426704723574,0.25970347096880736
0.7020737327188941,0.6860894512057922,0.22372861060977356
0.6320450885668276,0.6002471347227115,0.24959765923929533
0.5775345622119816,0.5640466389171714,0.271583756109021
0.6420942651497563,0.5185880650304394,0.24634350570450628
0.5914522058823529,0.6280746416184848,0.2632636719962432
0.6608455882352939,0.6480202274411178,0.23616151361338514
0.6604554865424431,0.6646891692088384,0.23218964981240076
0.5709677419354839,0.5653053753480024,0.27038561199707734
0.539150401836969,0.5337617371441294,0.2835283148657183
0.6510560146923783,0.6953359970738244,0.23637114064618633
0.6890495867768595,0.6987251387082201,0.2261250205339493
0.6796785304247991,0.6648677982855807,0.2315351362653364
0.6143518518518518,0.5726319502685215,0.2510909077038592
0.6385361348418379,0.6246958865199455,0.2477858245238096
0.6264221035523565,0.6729117648607017,0.25428445454550735
0.5438657407407408,0.5370105008240245,0.2833050163493889
0.6392450142450143,0.5926146770077029,0.23332378933390974
0.579219288174512,0.5542510148605395,0.2651033453369577
0.6864523536165327,0.6931480148049745,0.2345126972958146
0.6567164179104478,0.6378677970168771,0.2375440646397398
0.7020318633110136,0.652198607891896,0.21960632604618704
0.6132965263400046,0.5824088347132431,0.2503010297151023
0.7064814814814815,0.6630100798125564,0.22380565115042156
0.5571461556222581,0.6025194202494695,0.27860941575283527
0.5444623161764705,0.5279762161304762,0.2805327056151261
0.6783088235294117,0.6657094164824322,0.2322860506858182
0.6521239954075775,0.6801656816838257,0.23797773473904774
0.6215437788018433,0.6659125501782499,0.2531197742959393
0.5670339761248853,0.5913773842288339,0.27461617162679575
0.5734787600459242,0.5569112244208496,0.2732407316658607
0.5845070422535211,0.5633501640549744,0.2644675532424906
0.5988224428538444,0.6603941611304865,0.26058381354489984
0.6430875576036866,0.6471056738714864,0.2455258762772558
0.5427881297446515,0.5878952444413715,0.28480978007518853
0.6554446250290225,0.6375638727628692,0.23886925383576887
0.6535541752933056,0.6340678726517217,0.23829386016923548
0.6331571691176471,0.6023790889067424,0.25079785344302574
0.4817235536189785,0.3844436661847333,0.2966581002764442
0.6047297297297297,0.674030370641042,0.2642678838739961
0.6338691159586682,0.6286025849200539,0.24579163155044587
0.6081959600650104,0.5732437092546958,0.25299616579473616
0.6668967103749713,0.6497857156287665,0.2337732657257204
0.5892403601939505,0.5664540268830255,0.2605277654954808
0.6192565227430155,0.6086926751075759,0.253568894265523
